best,model,accuracy,precision,recall,f1,roc_auc_weighted
*,Logistic Regression,0.8311688311688312,0.8109031491384433,0.8311688311688312,0.816039586036267,0.8027210884353742
,Gradient Boosting (fallback),0.8051948051948052,0.810654936461388,0.8051948051948052,0.8077742946708464,0.7704081632653061
,Random Forest,0.8051948051948052,0.7998251748251748,0.8051948051948052,0.8023542511731488,0.804421768707483
