model,cv_accuracy_mean,cv_f1_weighted_mean,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_roc_auc_binary
RandomForestClassifier,0.9552308591466978,0.9541479727525785,0.9726027397260274,0.9726027397260274,0.9726027397260274,0.9726027397260274,0.9728163992869876
LogisticRegression,0.9621274108708358,0.9614639647272414,0.9452054794520548,0.9480710092256082,0.9452054794520548,0.9458487194758786,0.9750445632798574
